以下为热门股票
@open@ | @volume@ | @swing@
@high@ | @amount@ | @turnover@
@low@ | @totalShare@ | @pb@
@preClose@ | @cvs@ | @pe@
快速通道: | 历届高管成员 历届董事会成员 历届监事会成员 高管动态
姓 名 | 职 务 | 起始日期 | 终止日期
王克勤 | 董事 | 2010-04-13 | 2013-04-11
马儒超 | 董事 | 2011-04-15 | 2013-04-11
龚治荣 | 董事 | 2010-04-13 | 2013-04-11
谭坤一 | 董事 | 2011-04-15 | 2013-04-11
邹宁 | 董事 | 2011-04-15 | 2013-04-11
第5届董事会 起始日期:2009-01-21 终止日期:2010-04-12
Jesper B.Madsen | 董事 | 2009-01-21 | 2010-04-12
John Hunt | 董事 | 2007-05-22 | 2008-07-30
Patric Dougan | 董事 | 2007-05-22 | 2008-10-06
陈辉明 | 独立董事 | 2007-05-22 | 2010-04-12
陈锐 | 董事 | 2007-05-22 | 2007-10-16
陈世杰 | 董事 | 2007-05-22 | 2010-04-12
陈太夫 | 董事 | 2009-01-21 | 2010-04-12
邓炜 | 董事会秘书 | 2007-05-22 | 2010-04-12
黄明贵 | 董事 | 2007-05-22 | 2010-04-12
黄明贵 | 董事长 | 2007-05-22 | 2010-04-12
刘明朗 | 董事 | 2007-05-22 | 2010-04-12
罗祥英 | 独立董事 | 2007-05-22 | 2010-04-12
宋文富 | 董事 | 2007-10-16 | 2010-04-12
王克勤 | 董事 | 2009-01-21 | 2010-04-12
尹兴明 | 董事 | 2007-05-22 | 2009-01-21
余剑锋 | 独立董事 | 2007-05-22 | 2010-04-12
张国林 | 独立董事 | 2007-05-22 | 2010-04-12
第4届董事会 起始日期:2004-12-21 终止日期:2007-05-21
John Hunt | 董事 | 2004-12-21 | 2007-05-21
Patric Dougan | 董事 | 2004-12-21 | 2007-05-21
陈辉明 | 独立董事 | 2004-04-28 | 2007-05-21
陈锐 | 董事 | 2004-04-28 | 2007-05-21
陈世杰 | 董事 | 2004-04-28 | 2007-05-21
邓炜 | 董事会秘书 | 2006-08-22 | 2007-05-21
华正兴 | 董事 | 2004-04-28 | 2007-05-21
华正兴 | 董事长 | 2004-04-28 | 2007-05-21
黄明贵 | 董事 | 2004-04-28 | 2007-05-21
刘明朗 | 董事 | 2004-04-28 | 2007-05-21
罗祥英 | 独立董事 | 2006-05-09 | 2007-05-21
苏甫玉 | 董事会秘书 | 2004-04-28 | 2006-07-22
翁宇 | 独立董事 | 2004-04-28 | 2007-05-21
尹兴明 | 董事 | 2004-04-28 | 2007-05-21
庄东辰 | 独立董事 | 2004-04-28 | 2007-05-21
↑返回页顶↑
姓 名 | 职 务 | 起始日期 | 终止日期
第10届监事会 起始日期:2022-05-26 终止日期:2025-05-28
匡琦 | 监事会主席 | 2022-05-26 | 2025-05-28
匡琦 | 非职工代表监事 | 2022-05-25 | 2025-05-28
黄敏麟 | 非职工代表监事 | 2022-05-25 | 2025-05-28
陈昌黎 | 职工代表监事 | 2022-05-25 | 2023-12-02
谢夷 | 职工代表监事 | 2023-12-02 | 2025-05-28
第9届监事会 起始日期:2019-05-07 终止日期:2021-05-18
符许舜 | 监事会主席 | 2019-05-07 | 2021-05-18
符许舜 | 非职工代表监事 | 2019-05-07 | 2021-05-18
匡琦 | 监事 | 2021-05-18 | 2022-05-24
匡琦 | 监事会主席 | 2021-05-18 | 2022-05-26
